Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance,team_name_clean,team_name_alias_applied,team_name_original
2016-17,1,Alavés,,1–0,0–0,0–6,3–1,0–0,0–0,0–1,3–1,1–1,2–2,1–1,0–1,1–0,1–4,1–0,1–1,0–0,2–1,2–1,,,9,38,14,13,11,55,0.3684210526315789,0.2894736842105263,0.4824561403508772,Alavés,False,Alavés
2016-17,2,Athletic Bilbao,0–0,,2–2,0–1,2–1,2–1,3–1,2–0,3–1,5–1,1–1,1–0,1–1,2–1,1–2,3–2,3–1,2–1,2–1,1–0,,,7,38,19,6,13,63,0.5,0.3421052631578947,0.5526315789473685,Athletic Bilbao,False,Athletic Bilbao
2016-17,3,Atlético Madrid,1–1,3–1,,1–2,3–2,1–0,1–0,0–0,7–1,1–0,2–0,4–2,3–0,1–0,0–3,1–0,3–1,5–0,3–0,0–1,,,3,38,23,9,6,78,0.6052631578947368,0.1578947368421052,0.6842105263157895,Atlético Madrid,False,Atlético Madrid
2016-17,4,Barcelona,1–2,3–0,1–1,,5–0,4–0,4–2,4–1,1–0,5–0,2–1,0–0,7–1,6–2,1–1,3–2,3–0,6–1,4–2,4–1,,,2,38,28,6,4,90,0.7368421052631579,0.1052631578947368,0.7894736842105263,FC Barcelona,True,Barcelona
2016-17,5,Celta Vigo,1–0,0–3,0–4,4–3,,4–1,0–2,2–2,3–1,3–1,0–1,3–1,3–0,0–1,1–4,2–2,0–3,2–1,2–1,0–1,,,13,38,13,6,19,45,0.3421052631578947,0.5,0.3947368421052631,Celta de Vigo,True,Celta Vigo
2016-17,6,Deportivo La Coruña,0–1,0–1,1–1,2–1,0–1,,2–1,1–2,0–0,3–0,1–2,2–0,2–0,1–1,2–6,5–1,2–3,2–1,1–1,0–0,,,16,38,8,12,18,36,0.2105263157894736,0.4736842105263157,0.3157894736842105,Deportivo La Coruña,False,Deportivo La Coruña
2016-17,7,Eibar,0–0,0–1,0–2,0–4,1–0,3–1,,1–1,4–0,3–1,2–0,3–0,2–3,3–1,1–4,2–0,1–1,0–1,1–0,2–1,,,10,38,15,9,14,54,0.3947368421052631,0.3684210526315789,0.4736842105263157,Eibar,False,Eibar
2016-17,8,Espanyol,1–0,0–0,0–1,0–3,0–2,1–1,3–3,,3–1,4–3,3–0,2–2,3–0,2–1,0–2,1–2,3–1,2–1,0–1,0–0,,,8,38,15,11,12,56,0.3947368421052631,0.3157894736842105,0.4912280701754385,RCD Espanyol,True,Espanyol
2016-17,9,Granada,2–1,1–2,0–1,1–4,0–3,1–1,1–2,1–2,,1–0,0–1,0–2,1–1,4–1,0–4,0–2,2–1,0–0,1–3,1–1,,,20,38,4,8,26,20,0.1052631578947368,0.6842105263157895,0.175438596491228,Granada,False,Granada
2016-17,10,Las Palmas,1–1,3–1,0–5,1–4,3–3,1–1,1–0,0–0,5–1,,1–1,1–0,5–2,4–1,2–2,0–1,0–1,1–0,3–1,1–0,,,14,38,10,9,19,39,0.2631578947368421,0.5,0.3421052631578947,Las Palmas,False,Las Palmas
