Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
2018-19,5,Celta Vigo,0–1,1–2,2–0,2–0,,4–0,1–1,1–1,2–1,2–0,0–0,1–4,2–2,0–1,2–4,3–1,1–0,1–2,3–3,3–2,,,17,38,10,11,17,41,0.2631578947368421,0.4473684210526316,0.35964912280701755
2018-19,6,Eibar,2–1,1–1,0–1,2–2,1–0,,3–0,2–2,3–0,1–2,1–0,4–4,2–1,1–0,3–0,2–1,1–3,1–1,1–2,0–0,,,12,38,11,14,13,47,0.2894736842105263,0.34210526315789475,0.41228070175438597
2018-19,7,Espanyol,2–1,1–0,3–0,0–4,1–1,1–0,,1–1,1–3,1–1,1–0,1–0,2–1,1–3,2–4,2–0,0–1,2–0,3–1,3–1,,,7,38,14,11,13,53,0.3684210526315789,0.34210526315789475,0.4649122807017544
2018-19,8,Getafe,4–0,1–0,0–2,1–2,3–1,2–0,3–0,,2–0,2–1,0–2,0–1,2–1,2–0,0–0,1–0,3–0,0–1,0–0,2–2,,,5,38,15,14,9,59,0.39473684210526316,0.23684210526315788,0.5175438596491229
2018-19,9,Girona,1–1,1–2,1–1,0–2,3–2,2–3,1–2,1–1,,0–2,0–0,1–2,2–1,0–1,1–4,0–0,1–0,2–3,0–0,0–1,,,18,38,9,10,19,37,0.23684210526315788,0.5,0.32456140350877194
2018-19,10,Huesca,1–3,0–1,0–3,0–0,3–3,2–0,0–2,1–1,1–1,,2–1,2–2,0–1,2–1,0–1,0–1,2–1,2–6,4–0,2–2,,,19,38,7,12,19,33,0.18421052631578946,0.5,0.2894736842105263
2018-19,11,Leganés,1–0,0–1,1–1,2–1,0–0,2–2,0–2,1–1,0–2,1–0,,1–0,1–0,3–0,1–1,2–2,1–1,1–1,1–0,0–1,,,13,38,11,12,15,45,0.2894736842105263,0.39473684210526316,0.39473684210526316
2018-19,12,Levante,2–1,3–0,2–2,0–5,1–2,2–2,2–2,0–0,2–2,2–2,2–0,,4–1,4–0,1–2,1–3,2–6,2–2,2–0,0–2,,,15,38,11,11,16,44,0.2894736842105263,0.42105263157894735,0.38596491228070173
2018-19,13,Rayo Vallecano,1–5,1–1,0–1,2–3,4–2,1–0,2–2,1–2,0–2,0–0,1–2,2–1,,1–1,1–0,2–2,1–4,2–0,1–2,2–2,,,20,38,8,8,22,32,0.21052631578947367,0.5789473684210527,0.2807017543859649
2018-19,14,Real Betis,1–1,2–2,1–0,1–4,3–3,1–1,1–1,1–2,3–2,2–1,1–0,0–3,2–0,,1–2,1–0,1–0,1–2,0–1,2–1,,,10,38,14,8,16,50,0.3684210526315789,0.42105263157894735,0.43859649122807015
2018-19,15,Real Madrid,3–0,3–0,0–0,0–1,2–0,2–1,1–0,2–0,1–2,3–2,4–1,1–2,1–0,0–2,,0–2,2–0,2–0,2–0,3–2,,,3,38,21,5,12,68,0.5526315789473685,0.3157894736842105,0.5964912280701754
2018-19,16,Real Sociedad,0–1,2–1,0–2,1–2,2–1,1–1,3–2,2–1,0–0,0–0,3–0,1–1,2–2,2–1,3–1,,0–0,0–1,1–2,0–1,,,9,38,13,11,14,50,0.34210526315789475,0.3684210526315789,0.43859649122807015
2018-19,17,Sevilla,2–0,2–0,1–1,2–4,2–1,2–2,2–1,0–2,2–0,2–1,0–3,5–0,5–0,3–2,3–0,5–2,,0–1,1–0,0–0,,,6,38,17,8,13,59,0.4473684210526316,0.34210526315789475,0.5175438596491229
2018-19,18,Valencia,3–1,2–0,1–1,1–1,1–1,0–1,0–0,0–0,0–1,2–1,1–1,3–1,3–0,0–0,2–1,0–0,1–1,,1–1,3–0,,,4,38,15,16,7,61,0.39473684210526316,0.18421052631578946,0.5350877192982456
2018-19,19,Valladolid,0–1,1–0,2–3,0–1,2–1,0–0,1–1,2–2,1–0,1–0,2–4,2–1,0–1,0–2,1–4,1–1,0–2,0–2,,0–0,,,16,38,10,11,17,41,0.2631578947368421,0.4473684210526316,0.35964912280701755
2018-19,20,Villarreal,1–2,1–1,1–1,4–4,2–3,1–0,2–2,1–2,0–1,1–1,2–1,1–1,3–1,2–1,2–2,1–2,3–0,0–0,0–1,,,,14,38,10,14,14,44,0.2631578947368421,0.3684210526315789,0.38596491228070173
2017-18,1,Alavés,,3–1,0–1,0–2,2–1,1–0,1–2,1–0,2–0,1–2,2–0,2–2,1–0,1–0,1–3,1–2,0–2,1–0,1–2,0–3,,,14,38,15,2,21,47,0.39473684210526316,0.5526315789473685,0.41228070175438597
2017-18,2,Athletic Bilbao,2–0,,1–2,0–2,1–1,2–3,1–1,0–1,0–0,2–0,0–0,2–0,1–3,2–1,2–0,0–0,0–0,1–0,1–1,1–1,,,16,38,10,13,15,43,0.2631578947368421,0.39473684210526316,0.37719298245614036
2017-18,3,Atlético Madrid,1–0,2–0,,1–1,3–0,1–0,2–2,0–2,2–0,1–1,3–0,4–0,3–0,1–0,0–0,0–0,2–1,2–0,1–0,1–1,,,2,38,23,10,5,79,0.6052631578947368,0.13157894736842105,0.6929824561403509
2017-18,4,Barcelona,2–1,2–0,1–0,,2–2,4–0,6–1,5–0,0–0,6–1,3–0,3–1,3–0,2–0,2–0,2–2,1–0,2–1,2–1,5–1,,,1,38,28,9,1,93,0.7368421052631579,0.02631578947368421,0.8157894736842105
